seq_month,bird_species,sample,seeds,tag,pool,total_no_reads_pool,OTU,no_reads_OTU,final_fate,plant_family,plant_genus ,first_plant_species_BLAST,first_plant_species_BOLD,notes,,,,,,,,,,,,,,,,,
Nov-2023,Chiroxiphia galeata,381,1,D,P_01,23830,P_01_D_07,4,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Chiroxiphia galeata,381,1,D,P_01,23830,P_01_D_08,4,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,468,1,E,P_01,23830,P_01_E_02,2,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,468,1,E,P_01,23830,P_01_E_03,4,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Chiroxiphia galeata,482,1,H,P_01,23830,P_01_H_02,20,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,064,1,A,P_02,25904,P_02_A_02,8,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,064,1,A,P_02,25904,P_02_A_03,5,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Eucometis penicillata,052,1,B,P_02,25904,P_02_B_02,11,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Eucometis penicillata,052,1,B,P_02,25904,P_02_B_03,6,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Eucometis penicillata,052,1,B,P_02,25904,P_02_B_04,6,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Eucometis penicillata,052,1,B,P_02,25904,P_02_B_05,6,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Eucometis penicillata,052,1,B,P_02,25904,P_02_B_06,10,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Eucometis penicillata,052,1,B,P_02,25904,P_02_B_07,4,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Eucometis penicillata,052,1,B,P_02,25904,P_02_B_08,2,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Chiroxiphia galeata,410,1,C,P_02,25904,P_02_C_02,5,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Chiroxiphia galeata,412,1,D,P_02,25904,P_02_D_02,6,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Chiroxiphia galeata,412,1,D,P_02,25904,P_02_D_03,2,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Chiroxiphia galeata,268,1,H,P_02,25904,P_02_H_01,18,0,NA,NA,NA,NA,leave at family level,,,,,,,,,,,,,,,,,
Nov-2023,Thlypopsis sordida,473,0,A,P_03,43495,P_03_A_04,15,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Thlypopsis sordida,473,0,A,P_03,43495,P_03_A_05,7,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Thlypopsis sordida,473,0,A,P_03,43495,P_03_A_06,9,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Thlypopsis sordida,473,0,A,P_03,43495,P_03_A_07,2,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,286,1,B,P_03,43495,P_03_B_04,480,2,NA,NA,NA,NA,<98% match with any organism,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,286,1,B,P_03,43495,P_03_B_05,486,2,NA,NA,NA,NA,<98% match with any organism,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,286,1,B,P_03,43495,P_03_B_06,235,2,NA,NA,NA,NA,<98% match with any organism,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,286,1,B,P_03,43495,P_03_B_07,313,2,NA,NA,NA,NA,<98% match with any organism,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,286,1,B,P_03,43495,P_03_B_08,82,2,NA,NA,NA,NA,<98% match with any organism,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,286,1,B,P_03,43495,P_03_B_09,324,2,NA,NA,NA,NA,<98% match with any organism,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,286,1,B,P_03,43495,P_03_B_10,112,2,NA,NA,NA,NA,<98% match with any organism,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,286,1,B,P_03,43495,P_03_B_11,153,2,NA,NA,NA,NA,<98% match with any organism,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,286,1,B,P_03,43495,P_03_B_12,49,2,NA,NA,NA,NA,<98% match with any organism,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,286,1,B,P_03,43495,P_03_B_13,43,2,NA,NA,NA,NA,<98% match with any organism,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,286,1,B,P_03,43495,P_03_B_14,35,2,NA,NA,NA,NA,<98% match with any organism,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,286,1,B,P_03,43495,P_03_B_15,38,2,NA,NA,NA,NA,<98% match with any organism,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,286,1,B,P_03,43495,P_03_B_16,45,2,NA,NA,NA,NA,<98% match with any organism,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,286,1,B,P_03,43495,P_03_B_17,47,2,NA,NA,NA,NA,<98% match with any organism,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,286,1,B,P_03,43495,P_03_B_18,18,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,286,1,B,P_03,43495,P_03_B_19,31,2,NA,NA,NA,NA,<98% match with any organism,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,286,1,B,P_03,43495,P_03_B_20,56,2,NA,NA,NA,NA,<98% match with any organism,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,286,1,B,P_03,43495,P_03_B_21,13,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,286,1,B,P_03,43495,P_03_B_22,17,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,286,1,B,P_03,43495,P_03_B_23,13,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,286,1,B,P_03,43495,P_03_B_24,11,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,286,1,B,P_03,43495,P_03_B_25,19,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,286,1,B,P_03,43495,P_03_B_26,9,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,286,1,B,P_03,43495,P_03_B_27,56,2,NA,NA,NA,NA,<98% match with any organism,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,286,1,B,P_03,43495,P_03_B_28,22,2,NA,NA,NA,NA,<98% match with any organism,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,286,1,B,P_03,43495,P_03_B_29,6,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,286,1,B,P_03,43495,P_03_B_30,5,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,286,1,B,P_03,43495,P_03_B_31,13,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,286,1,B,P_03,43495,P_03_B_32,4,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,286,1,B,P_03,43495,P_03_B_33,38,2,NA,NA,NA,NA,<98% match with any organism,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,286,1,B,P_03,43495,P_03_B_34,8,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,286,1,B,P_03,43495,P_03_B_35,8,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,286,1,B,P_03,43495,P_03_B_36,12,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,286,1,B,P_03,43495,P_03_B_37,12,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,286,1,B,P_03,43495,P_03_B_38,2,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,286,1,B,P_03,43495,P_03_B_39,2,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,286,1,B,P_03,43495,P_03_B_40,6,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,286,1,B,P_03,43495,P_03_B_41,2,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,286,1,B,P_03,43495,P_03_B_42,2,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,286,1,B,P_03,43495,P_03_B_43,10,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,286,1,B,P_03,43495,P_03_B_44,2,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,286,1,B,P_03,43495,P_03_B_45,4,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,286,1,B,P_03,43495,P_03_B_46,2,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,286,1,B,P_03,43495,P_03_B_47,4,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,286,1,B,P_03,43495,P_03_B_48,8,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,286,1,B,P_03,43495,P_03_B_49,10,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,286,1,B,P_03,43495,P_03_B_50,6,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,286,1,B,P_03,43495,P_03_B_51,2,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,286,1,B,P_03,43495,P_03_B_52,2,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,286,1,B,P_03,43495,P_03_B_53,2,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,286,1,B,P_03,43495,P_03_B_54,2,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,286,1,B,P_03,43495,P_03_B_55,2,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,286,1,B,P_03,43495,P_03_B_56,2,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,286,1,B,P_03,43495,P_03_B_57,2,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,286,1,B,P_03,43495,P_03_B_58,2,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,286,1,B,P_03,43495,P_03_B_59,2,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,286,1,B,P_03,43495,P_03_B_60,2,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,286,1,B,P_03,43495,P_03_B_61,2,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Stilpnia cayana,179,0,C,P_03,43495,P_03_C_02,2,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Stilpnia cayana,179,0,C,P_03,43495,P_03_C_03,2,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Chiroxiphia galeata,195,1,E,P_03,43495,P_03_E_02,2,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Chiroxiphia galeata,360,1,H,P_03,43495,P_03_H_01,4,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Turdus leucomelas,422,0,A,P_04,30995,P_04_A_02,3,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Turdus leucomelas,422,0,A,P_04,30995,P_04_A_03,2,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Turdus leucomelas,201,1,B,P_04,30995,P_04_B_03,2525,2,NA,NA,NA,NA,<98% similarity with any organism,,,,,,,,,,,,,,,,,
Nov-2023,Turdus leucomelas,201,1,B,P_04,30995,P_04_B_04,53,2,NA,NA,NA,NA,<98% similarity with any organism,,,,,,,,,,,,,,,,,
Nov-2023,Turdus leucomelas,201,1,B,P_04,30995,P_04_B_05,5,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Turdus leucomelas,201,1,B,P_04,30995,P_04_B_06,5,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Turdus leucomelas,201,1,B,P_04,30995,P_04_B_07,32,2,NA,NA,NA,NA,<98% similarity with any organism,,,,,,,,,,,,,,,,,
Nov-2023,Turdus leucomelas,201,1,B,P_04,30995,P_04_B_08,14,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Turdus leucomelas,201,1,B,P_04,30995,P_04_B_09,2,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Turdus leucomelas,201,1,B,P_04,30995,P_04_B_10,2,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Turdus leucomelas,073,1,C,P_04,30995,P_04_C_02,6,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Turdus leucomelas,073,1,C,P_04,30995,P_04_C_03,2,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Pitangus sulphuratus,242,1,D,P_04,30995,P_04_D_02,3,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Tachyphonus coronatus,419,1,E,P_04,30995,P_04_E_03,18,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Tachyphonus coronatus,419,1,E,P_04,30995,P_04_E_04,9,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Tachyphonus coronatus,419,1,E,P_04,30995,P_04_E_05,8,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Tachyphonus coronatus,419,1,E,P_04,30995,P_04_E_06,7,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Tachyphonus coronatus,419,1,E,P_04,30995,P_04_E_07,2,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Tachyphonus coronatus,419,1,E,P_04,30995,P_04_E_08,2,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Eucometis penicillata,052,1,B,P_02,25904,P_02_B_01,20227,1,Salicaceae,Casearia,Casearia sylvestris,Casearia sylvestris,,,,,,,,,,,,,,,,,,
Nov-2023,Turdus leucomelas,053,1,A,P_05,23036,P_05_A_01,837,1,Salicaceae,Casearia,Casearia sylvestris,Casearia sylvestris,,,,,,,,,,,,,,,,,,
Nov-2023,Turdus leucomelas,053,1,A,P_05,23036,P_05_A_02,43,1,Lauraceae,Ocotea,Cinnamomum nitidum,Licaria cannella,,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,064,1,A,P_02,25904,P_02_A_01,808,1,Melastomataceae,Miconia ,Miconia pusilliflora,Clidemia urceolata,,,,,,,,,,,,,,,,,,
Nov-2023,Tachyphonus coronatus,070,1,B,P_05,23036,P_05_B_02,15,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Tachyphonus coronatus,070,1,B,P_05,23036,P_05_B_03,2,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Tachyphonus coronatus,070,1,B,P_05,23036,P_05_B_04,4,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Tachyphonus coronatus,070,1,B,P_05,23036,P_05_B_05,2,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Tachyphonus coronatus,070,1,B,P_05,23036,P_05_B_06,2,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Tachyphonus coronatus,070,1,B,P_05,23036,P_05_B_07,2,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Tachyphonus coronatus,070,1,B,P_05,23036,P_05_B_01,18106,1,Salicaceae,Casearia ,Casearia sylvestris,Casearia sylvestris,,,,,,,,,,,,,,,,,,
Nov-2023,Turdus amaurochalinus,199,1,C,P_05,23036,P_05_C_02,2,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Turdus leucomelas,073,1,C,P_04,30995,P_04_C_01,49,1,Solanaceae,Cestrum,Nicotiana solanifolia,Nicotiana rustica,,,,,,,,,,,,,,,,,,
Nov-2023,Turdus leucomelas,308,0,D,P_05,23036,P_05_D_02,3,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Turdus leucomelas,308,0,D,P_05,23036,P_05_D_03,2,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Eucometis penicillata,084,1,D,P_03,43495,P_03_D_01,216,1,Salicaceae,Casearia,Casearia sylvestris,Casearia sylvestris,,,,,,,,,,,,,,,,,,
Nov-2023,Turdus leucomelas,198,1,H,P_05,23036,P_05_H_02,2,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Chiroxiphia galeata,113,1,B,P_01,23830,P_01_B_01,16039,1,Rubiaceae,Psychotria,Psychotria mangenotii ,Psychotria horizontalis,,,,,,,,,,,,,,,,,,
Nov-2023,Chiroxiphia galeata,113,1,B,P_01,23830,P_01_B_02,44,1,Euphorbiaceae,Alchornea,Alchornea glandulosa,Alchornea costaricensis,,,,,,,,,,,,,,,,,,
Nov-2023,Chiroxiphia galeata,113,1,B,P_01,23830,P_01_B_03,44,1,Rubiaceae,Psychotria,Psychotria sp.,Psychotria avakubiensis,Psychotria vellosiana,,,,,,,,,,,,,,,,,
Nov-2023,Chiroxiphia galeata,113,1,B,P_01,23830,P_01_B_04,28,1,Rubiaceae,Psychotria,Psychotria sp.,Psychotria horizontalis,,,,,,,,,,,,,,,,,,
Nov-2023,Chiroxiphia galeata,132,1,A,P_01,23830,P_01_A_01,1236,1,Melastomataceae,Miconia,Miconia tococaudata,Miconia trinervia,,,,,,,,,,,,,,,,,,
Nov-2023,Chiroxiphia galeata,132,1,A,P_01,23830,P_01_A_02,501,1,Boraginaceae,Cordia,Cordia spinescens ,Cordia linnaei,,,,,,,,,,,,,,,,,,
Nov-2023,Chiroxiphia galeata,132,1,A,P_01,23830,P_01_A_03,30,1,Araliaceae,Dendropanax,Eleutherococcus gracilistylus,Hedera helix,,,,,,,,,,,,,,,,,,
Nov-2023,Chiroxiphia galeata,132,1,A,P_01,23830,P_01_A_05,56,1,Boraginaceae,Cordia,Cordia spinescens ,Cordia linnaei,,,,,,,,,,,,,,,,,,
Nov-2023,Stilpnia cayana,179,0,C,P_03,43495,P_03_C_01,135,1,Melastomataceae,Miconia,Miconia pusilliflora,Clidemia urceolata,,,,,,,,,,,,,,,,,,
Nov-2023,Turdus amaurochalinus,181,1,H,P_04,30995,P_04_H_01,56,1,Melastomataceae,Miconia,Miconia pusilliflora,Clidemia urceolata,,,,,,,,,,,,,,,,,,
Nov-2023,Chiroxiphia galeata,195,1,E,P_03,43495,P_03_E_01,74,1,Rosaceae,Rubus,Rubus amabilis,Rubus trivialis,check seeds ,,,,,,,,,,,,,,,,,
Nov-2023,Turdus leucomelas,198,1,H,P_05,23036,P_05_H_01,62,1,Myrtaceae,Eugenia ,Psidium cattleyanum,Vochysia guatemalensis,"leave at family level,, check seeds",,,,,,,,,,,,,,,,,
Nov-2023,Turdus amaurochalinus,199,1,C,P_05,23036,P_05_C_01,35,1,Sapindaceae,Allophylus,Allophylus edulis,Allophylus natalensis,,,,,,,,,,,,,,,,,,
Nov-2023,Turdus leucomelas,201,1,B,P_04,30995,P_04_B_01,20305,1,Myrtaceae,Eugenia ,Myrcianthes pungens,Pimenta guatemalensis,,,,,,,,,,,,,,,,,,
Nov-2023,Turdus leucomelas,201,1,B,P_04,30995,P_04_B_02,2449,1,Sapindaceae,Allophylus,Allophylus edulis,Allophylus natalensis,,,,,,,,,,,,,,,,,,
Nov-2023,Pitangus sulphuratus,242,1,D,P_04,30995,P_04_D_01,376,1,Melastomataceae,Miconia,Miconia pusilliflora,Clidemia urceolata,,,,,,,,,,,,,,,,,,
Nov-2023,Tachyphonus coronatus,253,1,E,P_05,23036,P_05_E_01,231,1,Melastomataceae,Miconia,Miconia pusilliflora,Clidemia urceolata,,,,,,,,,,,,,,,,,,
Nov-2023,Chiroxiphia galeata,255,1,E,P_02,25904,P_02_E_01,201,1,Melastomataceae,Miconia,Miconia pusilliflora,Clidemia urceolata,,,,,,,,,,,,,,,,,,
Nov-2023,Manacus manacus,286,1,B,P_03,43495,P_03_B_01,19259,1,Asteraceae,Tilesia,Wollastonia biflora,Tilesia baccata,"Tilesia or Wollastonia, either way, introduced",https://www.sciencedirect.com/science/article/pii/S0367253013000649?casa_token=_vjOi0yFM_EAAAAA:oSUgyNjHG-HnGCCOVns1fIQ6iOrnMQ7TdrMTOKUdOHCmVEPtlUlpIL8ke42n6pMS-v9qxPqhA9xP,,,,,,,,,,,,,,,,
